id;customer_name;order_address;total_amount;omise_txn_id;txn_time_stamp;is_txn_success;create_at;modify_at
1;portal reboot;holistic Peso Handcrafted;92349;Borders target Cambridgeshire;2021-08-27T14:38:38;false;2021-08-28T05:33:28;2021-08-27T12:45:14
2;open-source RSS;Tools Account;70320;Oval Creek;2021-08-27T15:56:55;false;2021-08-28T06:19:17;2021-08-27T23:10:11
3;Factors multi-tasking;solid;38593;olive Response Auto;2021-08-27T20:12:54;false;2021-08-28T02:34:41;2021-08-27T21:59:58
4;tan;Gorgeous proactive;7768;Rupee Legacy;2021-08-27T17:35:55;true;2021-08-27T11:59:03;2021-08-28T09:33:55
5;RSS channels;Mobility Hryvnia;1194;TCP;2021-08-27T20:21:03;true;2021-08-27T20:40:31;2021-08-27T10:59:40
6;virtual Granite;Lats quantifying;91821;Rustic Center object-oriented;2021-08-28T01:51:18;true;2021-08-27T23:52:12;2021-08-28T05:51:24
7;Personal;Granite Bacon Tasty;18225;pink;2021-08-27T22:23:21;false;2021-08-27T15:22:54;2021-08-28T03:06:37
8;Clothing;Account;14956;up;2021-08-27T10:02:43;true;2021-08-28T04:58:06;2021-08-27T18:34:42
9;Dynamic SSL Chips;Mexico Licensed niches;32249;Communications 24/7 Avon;2021-08-27T10:38:17;true;2021-08-27T23:47:02;2021-08-27T18:00:59
10;invoice Alabama;upward-trending bluetooth Table;13624;withdrawal Home;2021-08-27T11:47:54;false;2021-08-28T08:08:31;2021-08-27T10:41:36
